№,№,ID ,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2025-1),Uzbekistan Red Data Book (2019),CITES,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
50,52,,"Elaphe dione (Pallas, 1773)",Узорчатый полоз ,Нақшдор чипор илон,Steppe Rat Snake,LC,,,,Х,Х,Х,Х,Х,Х,Х,,,Х,Х,,Х
51,53,0033090331,"Elaphe sauromates (Pallas, 1811)",Палласов полоз,Тўрт йўлли чипор илони,Blotched Rat Snake,LC,2(VU:R),,,,,,,,,,,,,,,Х
"52,2",54,0033090341,Lycodon bicolor (NIKOLSKY 1903),Поперечнополосатый волкозуб,"Кўндаланг йўлли 
бўритиш илон",Northern Wolfsnake,,2(VU:R),,"UZ, TM, TJ, IR, AF",,,,Х,Х,Х,Х,Х,Х,,,,
53,55,0033090351,"Lytorhynchus ridgewayi Boulenger, 1887",Афганский литоринх ,Афғон литоринхи,Derafshi Snake ,LC,2(VU:R),,"UZ, TM, IR, AF, PK",,,,,,,,Х,Х,Х,Х,,
54,56,0033092783,"Natrix tessellata (Laurenti, 1768)",Водяной уж ,Сувилон,Dice Snake,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
55,57,,"Psammophis lineolatus (Brandt, 1838)",Стрела-змея ,Ўқилон,Steppe Ribbon Racer,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
56,58,,"Spalerosophis diadema (Schlegel, 1837)",Чешуелобый полоз ,Холдор чипор илон ,Diadem Snake,LC,,,,,Х,Х,,,Х,Х,Х,Х,Х,Х,Х,Х
"56,1","58,1",,Spalerosophis diadema schirazianus (JAN 1863) ,Чешуелобый полоз ,Холдор чипор илон ,Diadem Snake,,,,,,Х,Х,,,Х,Х,Х,Х,Х,Х,Х,Х
57,59,0033100361,"Naja oxiana (Eichwald, 1831)",Среднеазиатская кобра ,Капча илон,Central Asian Cobra,NT,3(NT),II,"UZ, TM, TJ, IR, AF, PK",,,,,,,Х,Х,Х,,Х,,
59,60,,"Gloydius caraganus (Eichwald, 1831)",Караганский щитомордник ,Караган буш илон,Karaganda Pitviper,LC,,,"UZ, KZ, KG, TM, TJ",,,,,,,,,,,,,Х
60,61,0033112793,"Echis carinatus (Schneider, 1801)",Песчаная эфа,Қум чархилони ,Saw-scaled Viper,LC,,,,,,,,,,,Х,Х,Х,,,Х
,"61,1",,Echis carinatus sochureki STEMMLER 1969 ,Песчаная эфа,Қум чархилони ,Sindh Saw-scaled Viper,,,,,,,,,,,,Х,Х,Х,,,Х
61,62,,"Vipera renardi (Christoph, 1861)",Восточная степная гадюка,Дашт қора илони ,Steppe Viper,NT,,,,,,,Х,Х,,,,,,,,
"61,1","62,1",0033110371,Vipera renardi tienshanica NILSON & ANDRÉN 2001 ,Восточная степная гадюка,Дашт қора илони ,Steppe Viper,NT,2(VU:D),,"UZ, KZ, KG, TJ",,,,Х,Х,,,,,,,,
62,63,0033112803,"Macrovipera lebetinus (LINNAEUS, 1758)",Гюрза,Кўлвор илон ,Levantine [Blunt-nosed] Viper,LC,,,,,,,,,Х,Х,Х,Х,Х,Х,Х,
62.1,63.1,,Macrovipera lebetinus turanica (CHERNOV 1939) ,Среднеазиатская гюрза,Кўлвор илон ,Levantine [Blunt-nosed] Viper,,,,"UZ, TJ",,,,,,Х,Х,Х,,,Х,,
62.2,63.2,,Macrovipera lebetinus cernovi (CHIKIN & SZCZERBAK 1992),Гюрза Чернова,Кўлвор илон ,Levantine [Blunt-nosed] Viper,,,,"UZ, TM, AF, IR, IN, PK ",,,,,,,,,Х,Х,,Х,
